Drug,Drug_Name,label
DB00333,Methadone,0
DB00334,Olanzapine,1
DB00335,Atenolol,0
DB00336,Nitrofural,0
DB00337,Pimecrolimus,0
DB00338,Omeprazole,0
DB00339,Pyrazinamide,0
DB00340,Metixene,0
DB00341,Cetirizine,0
DB00342,Terfenadine,0
DB00343,Diltiazem,0
DB00344,Protriptyline,0
DB00345,Aminohippuric acid,0
DB00346,Alfuzosin,0
DB00347,Trimethadione,0
DB00348,Nitisinone,0
DB00349,Clobazam,0
DB00350,Minoxidil,0
DB00351,Megestrol acetate,0
DB00352,Tioguanine,0
DB00353,Methylergometrine,0
DB00354,Buclizine,0
DB00355,Aztreonam,0
DB00356,Chlorzoxazone,0
DB00357,Aminoglutethimide,0
DB00358,Mefloquine,0
DB00359,Sulfadiazine,0
DB00360,Sapropterin,0
DB00361,Vinorelbine,0
DB00362,Anidulafungin,0
DB00363,Clozapine,0
DB00364,Sucralfate,0
DB00365,Grepafloxacin,0
DB00366,Doxylamine,0
DB00367,Levonorgestrel,0
DB00368,Norepinephrine,0
DB00369,Cidofovir,0
DB00370,Mirtazapine,0
DB00371,Meprobamate,0
DB00372,Thiethylperazine,0
DB00373,Timolol,0
DB00374,Treprostinil,0
DB00375,Colestipol,0
DB00376,Trihexyphenidyl,0
DB00377,Palonosetron,0
DB00378,Dydrogesterone,0
DB00379,Mexiletine,0
DB00380,Dexrazoxane,0
DB00381,Amlodipine,0
DB00382,Tacrine,0
DB00383,Oxyphencyclimine,0
DB00384,Triamterene,0
DB00385,Valrubicin,0
DB00387,Procyclidine,0
DB00388,Phenylephrine,0
DB00389,Carbimazole,0
DB00390,Digoxin,0
DB00391,Sulpiride,0
DB00392,Profenamine,0
DB00393,Nimodipine,0
DB00394,Beclomethasone dipropionate,0
DB00395,Carisoprodol,0
DB00396,Progesterone,0
DB00397,Phenylpropanolamine,0
DB00398,Sorafenib,0
DB00399,Zoledronic acid,0
DB00400,Griseofulvin,0
DB00401,Nisoldipine,0
DB00402,Eszopiclone,0
DB00403,Ceruletide,0
DB00404,Alprazolam,0
DB00405,Dexbrompheniramine,0
DB00406,Gentian violet cation,0
DB00407,Ardeparin,0
DB00408,Loxapine,0
DB00409,Remoxipride,0
DB00410,Mupirocin,0
DB00411,Carbamoylcholine,0
DB00412,Rosiglitazone,0
DB00413,Pramipexole,0
DB00414,Acetohexamide,0
DB00415,Ampicillin,0
DB00416,Metocurine iodide,0
DB00417,Phenoxymethylpenicillin,0
DB00418,Secobarbital,0
DB00419,Miglustat,0
DB00420,Promazine,0
DB00421,Spironolactone,0
DB00422,Methylphenidate,0
DB00423,Methocarbamol,0
DB00424,Hyoscyamine,0
DB00425,Zolpidem,0
DB00426,Famciclovir,0
DB00427,Triprolidine,0
DB00428,Streptozocin,0
DB00429,Carboprost tromethamine,0
DB00430,Cefpiramide,0
DB00431,Lindane,0
DB00432,Trifluridine,0
DB00433,Prochlorperazine,0
DB00434,Cyproheptadine,0
DB00435,Nitric Oxide,0
DB00436,Bendroflumethiazide,0
DB00437,Allopurinol,0
DB00438,Ceftazidime,0
DB00439,Cerivastatin,0
DB00440,Trimethoprim,0
DB00441,Gemcitabine,0
DB00442,Entecavir,0
DB00443,Betamethasone,0
DB00444,Teniposide,0
DB00445,Epirubicin,0
DB00446,Chloramphenicol,0
DB00447,Loracarbef,0
DB00448,Lansoprazole,0
DB00449,Dipivefrin,0
DB00450,Droperidol,0
DB00451,Levothyroxine,0
DB00452,Framycetin,0
DB00454,Meperidine,0
DB00455,Loratadine,0
DB00456,Cefalotin,0
DB00457,Prazosin,1
DB00458,Imipramine,0
DB00459,Acitretin,0
DB00460,Verteporfin,0
DB00461,Nabumetone,0
DB00462,Methscopolamine bromide,0
DB00464,Sodium tetradecyl sulfate,0
DB00465,Ketorolac,0
DB00467,Enoxacin,0
DB00468,Quinine,0
DB00469,Tenoxicam,0
DB00470,Dronabinol,0
DB00471,Montelukast,0
DB00472,Fluoxetine,0
DB00473,Hexylcaine,0
DB00474,Methohexital,0
DB00475,Chlordiazepoxide,0
DB00476,Duloxetine,0
DB00477,Chlorpromazine,0
DB00478,Rimantadine,0
DB00479,Amikacin,0
DB00480,Lenalidomide,0
DB00481,Raloxifene,0
DB00482,Celecoxib,0
DB00483,Gallamine triethiodide,0
DB00484,Brimonidine,0
DB00485,Dicloxacillin,0
DB00486,Nabilone,0
DB00487,Pefloxacin,0
DB00488,Altretamine,0
DB00489,Sotalol,0
DB00490,Buspirone,0
DB00491,Miglitol,0
DB00492,Fosinopril,0
DB00493,Cefotaxime,0
DB00494,Entacapone,0
DB00495,Zidovudine,0
DB00496,Darifenacin,0
DB00497,Oxycodone,0
DB00498,Phenindione,0
DB00499,Flutamide,0
DB00500,Tolmetin,0
DB00501,Cimetidine,0
DB00502,Haloperidol,0
DB00503,Ritonavir,0
DB00504,Levallorphan,0
DB00507,Nitazoxanide,0
DB00508,Triflupromazine,0
DB00509,Dextrothyroxine,0
DB00511,Acetyldigitoxin,0
DB00512,Vancomycin,0
DB00513,Aminocaproic acid,0
DB00514,Dextromethorphan,0
DB00515,Cisplatin,0
DB00516,Bentoquatam,0
DB00517,Anisotropine methylbromide,0
DB00518,Albendazole,0
DB00519,Trandolapril,0
DB00520,Caspofungin,0
DB00521,Carteolol,0
DB00523,Alitretinoin,0
DB00524,Metolazone,0
DB00525,Tolnaftate,0
DB00526,Oxaliplatin,0
DB00527,Cinchocaine,0
DB00528,Lercanidipine,0
DB00529,Foscarnet,0
DB00530,Erlotinib,0
DB00531,Cyclophosphamide,0
DB00532,Mephenytoin,0
DB00533,Rofecoxib,0
DB00534,Chlormerodrin,0
DB00535,Cefdinir,0
DB00536,Guanidine,0
DB00537,Ciprofloxacin,0
DB00538,Gadoversetamide,0
DB00539,Toremifene,0
DB00540,Nortriptyline,0
DB00541,Vincristine,0
DB00542,Benazepril,0
DB00543,Amoxapine,0
DB00544,Fluorouracil,0
DB00545,Pyridostigmine,0
DB00547,Desoximetasone,0
DB00548,Azelaic acid,0
DB00549,Zafirlukast,0
DB00550,Propylthiouracil,0
DB00551,Acetohydroxamic acid,0
DB00552,Pentostatin,0
DB00553,Methoxsalen,0
DB00554,Piroxicam,0
DB00555,Lamotrigine,0
DB00556,Perflutren,0
DB00557,Hydroxyzine,0
DB00558,Zanamivir,0
DB00559,Bosentan,0
DB00560,Tigecycline,0
DB00561,Doxapram,0
DB00562,Benzthiazide,0
DB00563,Methotrexate,0
DB00564,Carbamazepine,0
DB00565,Cisatracurium,0
DB00566,Succimer,0
DB00567,Cephalexin,0
DB00568,Cinnarizine,0
DB00569,Fondaparinux,0
DB00570,Vinblastine,0
DB00571,Propranolol,0
DB00572,Atropine,0
DB00573,Fenoprofen,0
DB00574,Fenfluramine,0
DB00575,Clonidine,0
DB00576,Sulfamethizole,0
DB00577,Valaciclovir,0
DB00578,Carbenicillin,0
DB00579,Mazindol,0
DB00580,Valdecoxib,0
DB00581,Lactulose,0
DB00582,Voriconazole,0
DB00583,Levocarnitine,0
DB00584,Enalapril,0
DB00585,Nizatidine,0
DB00586,Diclofenac,0
DB00588,Fluticasone propionate,0
DB00589,Lisuride,0
DB00590,Doxazosin,0
DB00591,Fluocinolone acetonide,0
DB00592,Piperazine,0
DB00593,Ethosuximide,0
DB00594,Amiloride,0
DB00595,Oxytetracycline,0
DB00596,Ulobetasol,0
DB00597,Gadoteridol,0
DB00598,Labetalol,0
DB00599,Thiopental,0
DB00600,Monobenzone,0
DB00601,Linezolid,0
DB00602,Ivermectin,0
DB00603,Medroxyprogesterone acetate,0
DB00604,Cisapride,0
DB00605,Sulindac,0
DB00606,Cyclothiazide,0
DB00607,Nafcillin,0
DB00608,Chloroquine,0
DB00609,Ethionamide,0
DB00610,Metaraminol,0
DB00611,Butorphanol,0
DB00612,Bisoprolol,0
DB00613,Amodiaquine,0
DB00615,Rifabutin,0
DB00617,Paramethadione,0
DB00618,Demeclocycline,0
DB00619,Imatinib,0
DB00620,Triamcinolone,0
DB00621,Oxandrolone,0
DB00622,Nicardipine,0
DB00623,Fluphenazine,0
DB00624,Testosterone,0
DB00625,Efavirenz,0
DB00626,Bacitracin,0
DB00627,Niacin,0
DB00628,Clorazepic acid,0
DB00629,Guanabenz,0
DB00630,Alendronic acid,0
DB00631,Clofarabine,0
DB00632,Docosanol,0
DB00633,Dexmedetomidine,0
DB00634,Sulfacetamide,0
DB00635,Prednisone,0
DB00636,Clofibrate,0
DB00637,Astemizole,0
DB00638,Inulin,0
DB00639,Butoconazole,0
DB00640,Adenosine,0
DB00641,Simvastatin,0
DB00642,Pemetrexed,0
DB00643,Mebendazole,0
DB00644,Gonadorelin,0
DB00645,Dyclonine,0
DB00646,Nystatin,0
DB00647,Dextropropoxyphene,0
DB00648,Mitotane,0
DB00649,Stavudine,0
DB00650,Leucovorin,0
DB00651,Dyphylline,0
DB00652,Pentazocine,0
DB00653,Magnesium sulfate,0
DB00654,Latanoprost,0
DB00655,Estrone,0
DB00656,Trazodone,1
DB00657,Mecamylamine,0
DB00658,Sevelamer,0
DB00659,Acamprosate,0
DB00660,Metaxalone,0
DB00661,Verapamil,0
DB00662,Trimethobenzamide,0
DB00663,Flumethasone,0
DB00664,Sulfametopyrazine,0
DB00665,Nilutamide,0
DB00666,Nafarelin,0
DB00668,Epinephrine,0
DB00669,Sumatriptan,0
DB00670,Pirenzepine,0
DB00671,Cefixime,0
DB00672,Chlorpropamide,0
DB00673,Aprepitant,0
DB00674,Galantamine,1
DB00675,Tamoxifen,0
DB00676,Benzyl benzoate,0
DB00677,Isoflurophate,0
DB00678,Losartan,0
DB00679,Thioridazine,1
DB00680,Moricizine,0
DB00681,Amphotericin B,0
DB00682,Warfarin,0
DB00683,Midazolam,0
DB00684,Tobramycin,0
DB00685,Trovafloxacin,0
DB00686,Pentosan polysulfate,0
DB00687,Fludrocortisone,0
DB00688,Mycophenolate mofetil,0
DB00689,Cephaloglycin,0
DB00690,Flurazepam,0
DB00691,Moexipril,0
DB00692,Phentolamine,0
DB00693,Fluorescein,0
DB00694,Daunorubicin,0
DB00695,Furosemide,0
DB00696,Ergotamine,0
DB00697,Tizanidine,0
DB00698,Nitrofurantoin,0
DB00699,Nicergoline,0
DB00700,Eplerenone,0
DB00701,Amprenavir,0
DB00702,Icodextrin,0
DB00703,Methazolamide,0
DB00704,Naltrexone,0
DB00705,Delavirdine,0
DB00706,Tamsulosin,0
DB00707,Porfimer sodium,0
DB00708,Sufentanil,0
DB00709,Lamivudine,0
DB00710,Ibandronate,0
DB00711,Diethylcarbamazine,0
DB00712,Flurbiprofen,0
DB00713,Oxacillin,0
DB00714,Apomorphine,0
DB00715,Paroxetine,0
DB00716,Nedocromil,0
DB00717,Norethisterone,0
DB00718,Adefovir dipivoxil,0
DB00719,Azatadine,0
DB00720,Clodronic acid,0
DB00721,Procaine,0
DB00722,Lisinopril,0
DB00723,Methoxamine,0
DB00724,Imiquimod,0
DB00725,Homatropine methylbromide,0
DB00726,Trimipramine,0
DB00727,Nitroglycerin,0
DB00728,Rocuronium,0
DB00730,Thiabendazole,0
DB00731,Nateglinide,0
DB00732,Atracurium besylate,0
DB00733,Pralidoxime,0
DB00734,Risperidone,0
DB00735,Naftifine,0
DB00736,Esomeprazole,0
DB00737,Meclizine,0
DB00738,Pentamidine,0
DB00739,Hetacillin,0
DB00740,Riluzole,0
DB00741,Hydrocortisone,0
DB00742,Mannitol,0
DB00743,Gadobenic acid,0
DB00744,Zileuton,0
DB00745,Modafinil,0
DB00746,Deferoxamine,0
DB00747,Scopolamine,0
DB00748,Carbinoxamine,0
DB00749,Etodolac,0
DB00750,Prilocaine,0
DB00751,Epinastine,0
DB00752,Tranylcypromine,0
DB00753,Isoflurane,0
DB00754,Ethotoin,0
DB00755,Tretinoin,0
DB00756,Hexachlorophene,0
DB00757,Dolasetron,0
DB00758,Clopidogrel,0
DB00759,Tetracycline,0
DB00760,Meropenem,0
DB00761,Potassium chloride,0
DB00762,Irinotecan,0
DB00763,Methimazole,0
DB00765,Metyrosine,0
DB00766,Clavulanic acid,0
DB00768,Olopatadine,0
DB00769,Hydrocortamate,0
DB00770,Alprostadil,0
DB00771,Clidinium,0
DB00772,Malathion,0
DB00773,Etoposide,0
DB00774,Hydroflumethiazide,0
DB00775,Tirofiban,0
DB00776,Oxcarbazepine,0
DB00777,Propiomazine,0
DB00778,Roxithromycin,0
DB00779,Nalidixic acid,0
DB00780,Phenelzine,0
DB00782,Propantheline,0
DB00783,Estradiol,0
DB00784,Mefenamic acid,0
DB00785,Cryptenamine,0
DB00787,Acyclovir,0
DB00788,Naproxen,0
DB00789,Gadopentetic acid,0
DB00790,Perindopril,0
DB00791,Uracil mustard,0
DB00792,Tripelennamine,0
DB00793,Haloprogin,0
DB00794,Primidone,0
DB00795,Sulfasalazine,0
DB00796,Candesartan cilexetil,0
DB00797,Tolazoline,0
DB00798,Gentamicin,0
DB00799,Tazarotene,0
DB00800,Fenoldopam,0
DB00801,Halazepam,0
DB00802,Alfentanil,0
DB00803,Colistin,0
DB00804,Dicyclomine,0
DB00805,Minaprine,0
DB00806,Pentoxifylline,0
DB00807,Proparacaine,0
DB00808,Indapamide,0
DB00809,Tropicamide,0
DB00810,Biperiden,0
DB00811,Ribavirin,0
DB00812,Phenylbutazone,0
DB00813,Fentanyl,0
DB00814,Meloxicam,0
DB00816,Orciprenaline,0
DB00817,Rosoxacin,0
DB00818,Propofol,0
DB00819,Acetazolamide,0
DB00820,Tadalafil,0
DB00821,Carprofen,0
DB00822,Disulfiram,0
DB00823,Ethynodiol diacetate,0
DB00824,Enprofylline,0
DB00825,Levomenthol,0
DB00826,Natamycin,0
DB00827,Cinoxacin,0
DB00828,Fosfomycin,0
DB00829,Diazepam,0
DB00830,Phenmetrazine,0
DB00831,Trifluoperazine,0
DB00832,Phensuximide,0
DB00833,Cefaclor,0
DB00834,Mifepristone,0
DB00835,Brompheniramine,0
DB00836,Loperamide,0
DB00838,Clocortolone,0
DB00839,Tolazamide,0
DB00840,Hydroxypropyl cellulose,0
DB00841,Dobutamine,0
DB00842,Oxazepam,0
DB00843,Donepezil,1
DB00844,Nalbuphine,0
DB00845,Clofazimine,0
DB00846,Flurandrenolide,0
DB00847,Cysteamine,0
DB00848,Levamisole,0
DB00849,Methylphenobarbital,0
DB00850,Perphenazine,0
DB00851,Dacarbazine,0
DB00852,Pseudoephedrine,0
DB00853,Temozolomide,0
DB00854,Levorphanol,0
DB00855,Aminolevulinic acid,0
DB00856,Chlorphenesin,0
DB00857,Terbinafine,0
DB00859,Penicillamine,0
DB00860,Prednisolone,0
DB00861,Diflunisal,0
DB00862,Vardenafil,0
DB00863,Ranitidine,0
DB00864,Tacrolimus,0
DB00865,Benzphetamine,0
DB00867,Ritodrine,0
DB00868,Benzonatate,0
DB00869,Dorzolamide,0
DB00870,Suprofen,0
DB00871,Terbutaline,0
DB00872,Conivaptan,0
DB14596,Loteprednol etabonate,0
DB00874,Guaifenesin,0
DB00875,Flupentixol,0
DB00876,Eprosartan,0
DB00877,Sirolimus,0
DB00878,Chlorhexidine,0
DB00879,Emtricitabine,0
DB00880,Chlorothiazide,0
DB00881,Quinapril,0
DB00882,Clomifene,0
DB00883,Isosorbide dinitrate,0
DB00884,Risedronic acid,0
DB00885,Pemirolast,0
DB00887,Bumetanide,0
DB00888,Mechlorethamine,0
DB00889,Granisetron,0
DB00890,Dienestrol,0
DB00891,Sulfapyridine,0
DB00892,Oxybuprocaine,0
DB00893,Iron Dextran,0
DB00894,Testolactone,0
DB00895,Benzylpenicilloyl polylysine,0
DB00896,Rimexolone,0
DB00897,Triazolam,0
DB00898,Ethanol,0
DB00899,Remifentanil,0
DB00900,Didanosine,0
DB00902,Methdilazine,0
DB00903,Etacrynic acid,0
DB00904,Ondansetron,0
DB00905,Bimatoprost,0
DB00906,Tiagabine,0
DB00907,Cocaine,0
DB00908,Quinidine,0
DB00909,Zonisamide,0
DB00910,Paricalcitol,0
DB00911,Tinidazole,0
DB00912,Repaglinide,0
DB00913,Anileridine,0
DB00914,Phenformin,0
DB00915,Amantadine,0
DB00916,Metronidazole,0
DB00917,Dinoprostone,0
DB00918,Almotriptan,0
DB00919,Spectinomycin,0
DB00920,Ketotifen,0
DB00921,Buprenorphine,0
DB00922,Levosimendan,0
DB00923,Ceforanide,0
DB00924,Cyclobenzaprine,0
DB00925,Phenoxybenzamine,0
DB00927,Famotidine,0
DB00928,Azacitidine,0
DB00929,Misoprostol,0
DB00930,Colesevelam,0
DB00931,Metacycline,0
DB00932,Tipranavir,0
DB00933,Mesoridazine,0
DB00934,Maprotiline,0
DB00935,Oxymetazoline,0
DB00936,Salicylic acid,0
DB00937,Diethylpropion,0
DB00938,Salmeterol,0
DB00939,Meclofenamic acid,0
DB00940,Methantheline,0
DB00941,Hexafluronium,0
DB00942,Cycrimine,0
DB00943,Zalcitabine,0
DB00944,Demecarium,0
DB00945,Acetylsalicylic acid,0
DB00946,Phenprocoumon,0
DB00947,Fulvestrant,0
DB00948,Mezlocillin,0
DB00949,Felbamate,0
DB00950,Fexofenadine,0
DB00951,Isoniazid,0
DB00952,Naratriptan,0
DB00953,Rizatriptan,0
DB00955,Netilmicin,0
DB00956,Hydrocodone,0
DB00957,Norgestimate,0
DB00958,Carboplatin,0
DB00959,Methylprednisolone,0
DB00960,Pindolol,0
DB00961,Mepivacaine,0
DB00962,Zaleplon,0
DB00963,Bromfenac,0
DB00964,Apraclonidine,0
DB00965,Ethiodized oil,0
DB00966,Telmisartan,0
DB00967,Desloratadine,0
DB00968,Methyldopa,0
DB00969,Alosetron,0
DB00970,Dactinomycin,0
DB00971,Selenium Sulfide,0
DB00972,Azelastine,0
DB00973,Ezetimibe,0
DB00974,Edetic acid,0
DB00975,Dipyridamole,0
DB00976,Telithromycin,0
DB00977,Ethinylestradiol,0
DB00978,Lomefloxacin,0
DB00979,Cyclopentolate,0
DB00980,Ramelteon,0
DB00981,Physostigmine,0
DB00982,Isotretinoin,0
DB00983,Formoterol,0
DB00984,Nandrolone phenpropionate,0
DB00985,Dimenhydrinate,0
DB00986,Glycopyrronium,0
DB00987,Cytarabine,0
DB00988,Dopamine,0
DB00989,Rivastigmine,0
DB00990,Exemestane,0
DB00991,Oxaprozin,0
DB00992,Methyl aminolevulinate,0
DB00993,Azathioprine,0
DB00994,Neomycin,0
DB00995,Auranofin,0
DB00996,Gabapentin,0
DB00997,Doxorubicin,0
DB00998,Frovatriptan,0
DB00999,Hydrochlorothiazide,0
DB01000,Cyclacillin,0
DB01001,Salbutamol,0
DB01002,Levobupivacaine,0
DB01003,Cromoglicic acid,0
DB01004,Ganciclovir,0
DB01005,Hydroxyurea,0
DB01006,Letrozole,0
DB01007,Tioconazole,0
DB01008,Busulfan,0
DB01009,Ketoprofen,0
DB01010,Edrophonium,0
DB01011,Metyrapone,0
DB01012,Cinacalcet,0
DB01013,Clobetasol propionate,0
